Latitude,Longitude,Rainfall,GW_Recharge,GW_Extraction,Extraction_Stage_Perc,Prev_GW,GW_Level
24.02861,72.38083,764.9,147567.45,157492.27,112.34,152.02,149.82
24.06,72.52,764.9,147567.45,157492.27,112.34,52.1,48.5
24.04,72.34,764.9,147567.45,157492.27,112.34,139.58,136.58
24.15,72.65,764.9,147567.45,157492.27,112.34,19.5,15.4
23.98,72.44,764.9,147567.45,157492.27,112.34,59.9,59.24
24.05,72.41,764.9,147567.45,157492.27,112.34,56.1,52.7
24.07,72.61,764.9,147567.45,157492.27,112.34,21.2,15.5
24.14,72.61,764.9,147567.45,157492.27,112.34,25.5,21.8
24.08,72.49,764.9,147567.45,157492.27,112.34,36.9,31.52
23.17,72.81,764.9,49481.81,53377.7,113.55,102.95,102.4
23.17,72.81,764.9,49481.81,53377.7,113.55,103.15,102.8
23.17,72.81,764.9,49481.81,53377.7,113.55,48.6,48.3
23.17083,72.84167,764.9,49481.81,53377.7,113.55,62.45,62.45
23.17,72.9,764.9,49481.81,53377.7,113.55,37.2,33.2
23.12667,72.95528,764.9,49481.81,53377.7,113.55,21.85,21.6
23.26,72.85,764.9,49481.81,53377.7,113.55,99.3,98.8
23.07972,72.815,764.9,49481.81,53377.7,113.55,44.25,43.9
23.02611,72.87528,764.9,49481.81,53377.7,113.55,33.85,33.0
23.21,72.95,764.9,49481.81,53377.7,113.55,36.5,36.0
23.17,72.95,764.9,49481.81,53377.7,113.55,38.25,37.25
23.17861,72.84111,764.9,49481.81,53377.7,113.55,12.85,12.25
23.29,72.88,764.9,49481.81,53377.7,113.55,64.95,64.7
23.22,72.81,764.9,49481.81,53377.7,113.55,35.6,33.85
23.11,72.64,764.9,49481.81,53377.7,113.55,81.1,78.45
23.1,72.63,764.9,49481.81,53377.7,113.55,40.2,39.7
23.2,72.65,764.9,49481.81,53377.7,113.55,102.7,99.4
23.2,72.65,764.9,49481.81,53377.7,113.55,52.25,51.0
23.2,72.66,764.9,49481.81,53377.7,113.55,48.2,43.6
23.14,72.66,764.9,49481.81,53377.7,113.55,36.85,35.2
23.14,72.64,764.9,49481.81,53377.7,113.55,66.3,65.7
23.1,72.62,764.9,49481.81,53377.7,113.55,25.1,24.7
23.26,72.57,764.9,49481.81,53377.7,113.55,114.35,112.9
23.22,72.77,764.9,49481.81,53377.7,113.55,92.79,92.64
23.22,72.77,764.9,49481.81,53377.7,113.55,113.15,112.65
23.22,72.77,764.9,49481.81,53377.7,113.55,113.1,112.75
23.2,72.77,764.9,49481.81,53377.7,113.55,59.15,58.7
23.12,72.70583,764.9,49481.81,53377.7,113.55,67.85,66.35
23.35,72.68,764.9,49481.81,53377.7,113.55,75.3,72.4
23.29722,72.57389,764.9,49481.81,53377.7,113.55,134.5,131.25
23.29722,72.57389,764.9,49481.81,53377.7,113.55,115.78,111.76
23.19028,72.55278,764.9,49481.81,53377.7,113.55,11.99,11.73
23.19028,72.55278,764.9,49481.81,53377.7,113.55,11.99,11.73
23.33,72.66,764.9,49481.81,53377.7,113.55,89.05,88.05
23.14,72.69,764.9,49481.81,53377.7,113.55,65.55,65.25
23.16,72.45,764.9,49481.81,53377.7,113.55,115.7,111.2
23.27,72.45,764.9,49481.81,53377.7,113.55,115.1,109.4
23.33,72.51,764.9,49481.81,53377.7,113.55,118.2,117.4
23.33,72.51,764.9,49481.81,53377.7,113.55,144.8,138.5
23.33194,72.56667,764.9,49481.81,53377.7,113.55,95.0,95.25
23.09861,72.41639,764.9,49481.81,53377.7,113.55,39.1,37.7
23.25833,72.47222,764.9,49481.81,53377.7,113.55,64.63,64.31
23.07139,72.44,764.9,49481.81,53377.7,113.55,114.15,107.5
23.42306,72.665,764.9,49481.81,53377.7,113.55,111.0,116.75
23.36,72.71,764.9,49481.81,53377.7,113.55,94.05,90.25
23.53,72.65,764.9,49481.81,53377.7,113.55,65.95,65.25
23.48167,72.65167,764.9,49481.81,53377.7,113.55,99.06,94.75
23.48167,72.65167,764.9,49481.81,53377.7,113.55,185.34,178.37
23.39,72.72,764.9,49481.81,53377.7,113.55,51.9,50.55
23.45,72.59,764.9,49481.81,53377.7,113.55,101.2,100.25
23.45,72.59,764.9,49481.81,53377.7,113.55,157.35,150.55
23.38,72.68,764.9,49481.81,53377.7,113.55,79.05,78.3
23.46389,72.72028,764.9,49481.81,53377.7,113.55,51.9,51.45
23.40417,72.62556,764.9,49481.81,53377.7,113.55,47.4,45.2
23.48,72.74,764.9,49481.81,53377.7,113.55,72.05,71.95
23.48,72.74,764.9,49481.81,53377.7,113.55,142.1,140.7
23.4616,72.76116,764.9,49481.81,53377.7,113.55,112.25,109.7
23.46159,72.76116,764.9,49481.81,53377.7,113.55,37.7,36.7
23.47028,72.58806,764.9,49481.81,53377.7,113.55,56.65,51.1
23.18111,70.16139,764.9,88169.06,70248.98,83.87,15.15,13.65
23.29306,70.0375,764.9,88169.06,70248.98,83.87,57.45,55.83
22.99639,70.02556,764.9,88169.06,70248.98,83.87,4.9,4.55
23.16806,70.04417,764.9,88169.06,70248.98,83.87,7.15,5.8
23.15444,70.12667,764.9,88169.06,70248.98,83.87,7.75,6.38
22.94417,69.99556,764.9,88169.06,70248.98,83.87,7.05,6.1
23.14,69.95,764.9,88169.06,70248.98,83.87,84.65,83.5
23.31,70.18,764.9,88169.06,70248.98,83.87,55.85,54.28
23.06389,69.91861,764.9,88169.06,70248.98,83.87,62.55,61.18
23.31752,70.06832,764.9,88169.06,70248.98,83.87,68.05,66.9
23.56667,70.4175,764.9,88169.06,70248.98,83.87,7.03,6.33
23.84611,70.26806,764.9,88169.06,70248.98,83.87,8.45,6.85
23.27222,70.58167,764.9,88169.06,70248.98,83.87,7.95,7.65
23.35333,70.56167,764.9,88169.06,70248.98,83.87,12.75,11.28
23.33,70.555,764.9,88169.06,70248.98,83.87,12.65,11.15
23.305,70.51139,764.9,88169.06,70248.98,83.87,5.95,4.61
23.34,70.43056,764.9,88169.06,70248.98,83.87,3.3,2.15
23.46,70.36,764.9,88169.06,70248.98,83.87,5.95,4.45
23.45417,70.35,764.9,88169.06,70248.98,83.87,9.15,3.7
23.24,69.68,764.9,88169.06,70248.98,83.87,29.9,28.63
23.25,69.83,764.9,88169.06,70248.98,83.87,79.9,78.6
23.31472,69.59944,764.9,88169.06,70248.98,83.87,3.45,2.13
23.63972,69.40611,764.9,88169.06,70248.98,83.87,6.75,5.28
23.38472,69.84083,764.9,88169.06,70248.98,83.87,6.05,4.58
23.75194,69.51,764.9,88169.06,70248.98,83.87,7.45,6.25
23.28306,69.98361,764.9,88169.06,70248.98,83.87,35.65,34.18
23.84056,69.72778,764.9,88169.06,70248.98,83.87,7.05,6.35
23.39806,69.715,764.9,88169.06,70248.98,83.87,17.55,16.18
23.69722,69.26278,764.9,88169.06,70248.98,83.87,4.1,2.88
23.34333,69.725,764.9,88169.06,70248.98,83.87,10.6,9.23
23.30706,69.47191,764.9,88169.06,70248.98,83.87,13.05,11.88
23.13731,69.63933,764.9,88169.06,70248.98,83.87,12.95,11.35
23.18,69.57,764.9,88169.06,70248.98,83.87,62.75,61.38
23.36861,70.0,764.9,88169.06,70248.98,83.87,21.45,19.96
23.08056,69.59444,764.9,88169.06,70248.98,83.87,47.88,50.78
23.25252,69.55263,764.9,88169.06,70248.98,83.87,25.75,24.33
23.08439,69.74527,764.9,88169.06,70248.98,83.87,57.85,56.6
23.39389,69.89833,764.9,88169.06,70248.98,83.87,18.05,16.4
